アジヤ	アジア
アトランチック	アトランティック
アヴェレージ	アベレージ
アベレイジ	アベレージ
アンティ	アンチ
アンチーク	アンティーク
アンモニヤ	アンモニア
イタリヤ	イタリア
イニシアティブ	イニシアチブ
イヴェント	イベント
イミテイション	イミテーション
イアホン	イヤホン
イヤフォン	イヤホン
インディケータ	インジケーター
インタフェイス	インターフェイス
インターフェース	インターフェイス
インタフェース	インターフェイス
インターフォン	インターホン
インホメーション	インフォメーション
ウエア	ウェア
エディソン	エジソン
エスカレイタ	エスカレーター
エラア	エラー
エレベイタ	エレベーター
オウディオ	オーディオ
オートマチック	オートマティック
オウナー	オーナー
オウバー	オーバー
オウバーコート	オーバーコート
カバア	カバー
カフェテリヤ	カフェテリア
カラア	カラー
ギヤ	ギア
キイ	キー
キャラヴァン	キャラバン
グラビヤ	グラビア
クリエイティブ	クリエーティブ
ケアー	ケア
ケイス	ケース
ゲイム	ゲーム
コピイ	コピー
コンデション	コンディション
サーヴィス	サービス
サーヴェイ	サーベイ
サラダボール	サラダボウル
シェイド	シェード
ジフテリヤ	ジフテリア
シミュレイション	シミュレーション
シュミレーション	シミュレーション
シュミレータ	シミュレーター
ショウ	ショー
スーパア	スーパー
スケイル	スケール
スタディアム	スタジアム
ストアー	ストア
スペイス	スペース
スリッパー	スリッパ
セイフティー	セーフティー
セピヤ	セピア
セロファン	セロハン
ソフトウエア	ソフトウェア
タイア	タイヤ
ダイアグラム	ダイヤグラム
ダイアモンド	ダイヤモンド
ダイアラ	ダイヤラー
ダイアル	ダイヤル
ダミイ	ダミー
ティアミン	チアミン
チェイン	チェーン
ティケット	チケット
ティップ	チップ
デスカッション	ディスカッション
デスカバリ	ディスカバリー
デズニー	ディズニー
ディスプレイ	ディスプレー
デスプレー	ディスプレー
デスプレイ	ディスプレー
ディジタル	デジタル
テレホンサービス	テレフォンサービス
ドアー	ドア
トナア	トナー
ドメーン	ドメイン
トライヤル	トライアル
ドリヤ	ドリア
トレイナー	トレーナー
ニュウトン	ニュートン
ネイチャー	ネーチャー
ネイム	ネーム
ネガティヴ	ネガティブ
ヴァージョン	バージョン
ハードウエア	ハードウェア
バイヤス	バイアス
ヴァイオリン	バイオリン
バクテリヤ	バクテリア
ヴァニラ	バニラ
ヴァリエーション	バリエーション
ヴァルブ	バルブ
バレー	バレエ
ハンティング	ハンチング
ピヤノ	ピアノ
ビジイ	ビジー
ヴィデオ	ビデオ
ビリアード	ビリヤード
ファンタスチック	ファンタスティック
ホークダンス	フォークダンス
ホルダー	フォルダー
ホワード	フォワード
プラスティック	プラスチック
プラットフォーム	プラットホーム
プレイヤー	プレーヤー
ペイジ	ページ
ペイパー	ペーパー
ヴェール	ベール
ヴェテラン	ベテラン
ベニア	ベニヤ
ヴォーカル	ボーカル
ヴォランティア	ボランティア
ボランティヤ	ボランティア
ヴォリューム	ボリューム
フォルマリン	ホルマリン
マルティ	マルチ
ミラア	ミラー
メーン	メイン
メイカー	メーカー
メイル	メール
メガフォン	メガホン
メッセイジ	メッセージ
メディヤ	メディア
メインテナンス	メンテナンス
モルフィネ	モルヒネ
ユニヴァーサル	ユニバーサル
ユニホーム	ユニフォーム
ラジヤル	ラジアル
ラディオ	ラジオ
リヴァイヴァル	リバイバル
レーアウト	レイアウト
レイアー	レイヤー
レーンコート	レインコート
レイザー	レーザー
レイダー	レーダー
レタア	レター
レヴュー	レビュー
レヴェル	レベル
